State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Sabah,Kudat,(3.5m),2002,24.5,31.8,1318.5,150.0,82.8
Sabah,Sandakan,(12.1m),2002,24.5,31.9,2172.9,188.0,81.8
Sabah,Tawau,(17.5m),2002,23.3,31.5,1473.9,141.0,81.4
Sarawak,Kuching,(20.9m),2002,23.3,31.6,4710.7,241.0,84.5
Sarawak,Miri ,(17.0m),2002,24.2,31.6,2507.4,180.0,84.8
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2002,24.6,32.8,1815.5,153.0,80.0
Selangor,Subang,(16.6m),2002,24.3,33.5,2694.5,193.0,77.9
Terengganu,Kuala Terengganu,(5.2m),2002,23.9,31.3,2329.1,145.0,81.3
Wilayah Persekutuan Labuan,Labuan,(27.9m),2002,25.3,31.7,3061.2,165.0,78.6
Johor,Senai,(37.8m),2003,22.8,31.7,2340.5,202.0,85.3
Johor,Kluang,(88.1m),2003,23.4,32.3,2065.7,192.0,86.3
Kedah,Alor Setar,(3.9m),2003,24.0,32.7,2241.8,162.0,80.1
Kedah,Pulau Langkawi,(6.4m),2003,25.1,32.4,3166.7,149.0,78.1
Kelantan,Kota Bharu,(4.4m),2003,24.3,31.5,2341.1,184.0,81.8
Kelantan,Kuala Krai,(34.9 m),2003,23.1,32.2,2728.6,195.0,85.7
Melaka,Melaka,(8.5m),2003,24.1,32.2,1824.2,176.0,81.4
Pahang,Kuantan,(15.2m),2003,23.8,31.9,3799.6,211.0,83.7
Pahang,Cameron Highlands,"(1,545.0m)",2003,15.3,22.6,2975.8,239.0,92.1
Perak,Ipoh,(40.1m),2003,23.8,32.3,3463.3,229.0,81.9
Perak,Sitiawan,(6.8m),2003,23.4,32.3,2065.4,191.0,85.3
Perlis,Chuping  ,(21.7m),2003,23.8,32.7,1837.3,164.0,82.6
Pulau Pinang,Bayan Lepas,(2.5 m),2003,25.0,31.9,2887.5,177.0,77.1
Pulau Pinang,Butterworth,(3.3m),2003,24.1,32.3,2637.4,185.0,81.3
Sabah,Kota Kinabalu,(2.1m),2003,23.9,32.2,2329.1,163.0,79.9
Sabah,Kudat,(3.5m),2003,24.5,31.7,2359.7,172.0,83.5
Sabah,Sandakan,(12.1m),2003,24.5,31.6,2975.9,201.0,83.1
Sabah,Tawau,(17.5m),2003,23.3,30.9,1952.2,164.0,84.0
Sarawak,Kuching,(20.9m),2003,23.4,31.7,5246.3,257.0,84.9
Sarawak,Miri ,(17.0m),2003,24.3,31.4,2655.2,194.0,85.6
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2003,24.5,32.3,2657.1,195.0,83.1
Selangor,Subang,(16.6m),2003,24.3,33.2,2843.1,219.0,80.0
Terengganu,Kuala Terengganu,(5.2m),2003,23.9,30.8,3341.7,179.0,82.4
Wilayah Persekutuan Labuan,Labuan,(27.9m),2003,25.2,31.6,3207.2,178.0,79.1
Johor,Senai,(37.8m),2004,22.9,32.0,2758.5,183.0,84.6
Johor,Kluang,(88.1m),2004,23.4,32.4,2233.9,171.0,85.2
Kedah,Alor Setar,(3.9m),2004,24.3,33.1,2418.0,151.0,79.0
Kedah,Pulau Langkawi,(6.4m),2004,25.1,32.6,1822.7,164.0,78.1
Kelantan,Kota Bharu,(4.4m),2004,24.4,31.7,1928.6,150.0,81.0
Kelantan,Kuala Krai,(34.9 m),2004,22.9,32.5,2752.1,174.0,84.9
Melaka,Melaka,(8.5m),2004,24.2,32.5,1615.5,149.0,80.5
Pahang,Kuantan,(15.2m),2004,23.1,31.9,3315.0,178.0,85.1
Pahang,Cameron Highlands,"(1,545.0m)",2004,15.3,23.0,2411.6,216.0,90.9
Perak,Ipoh,(40.1m),2004,24.0,33.0,2743.6,185.0,80.8
